Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Src Port,Dest Port,hostscan,osscan,portscan
0,1,8,14,11,0,0,28,0,0,0,0,0,0,0,0,0,0,57621,57621,1,0,0
8524,5,6,3,10,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8526,5,6,3,10,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8527,5,6,3,10,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8529,5,6,3,10,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8530,5,6,3,10,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8532,5,6,3,10,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8533,5,6,3,10,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8534,5,6,3,10,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8537,5,6,3,10,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8538,5,6,3,10,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8570,6,5,3,24,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8573,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8574,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8577,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8580,6,5,3,24,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8582,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8583,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8585,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8588,6,5,3,24,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8589,6,5,3,24,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
