Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Src Port,Dest Port,hostscan,osscan,portscan
0,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,40826.0,53.0,0,0,0
1,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,41568.0,53.0,0,0,0
2,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,53063.0,53.0,0,0,0
3,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,50483.0,53.0,0,0,0
4,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,57545.0,53.0,0,0,0
5,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,58857.0,53.0,0,0,0
6,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,40137.0,53.0,0,0,0
7,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,43090.0,53.0,0,0,0
8,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,40826.0,0,0,0
9,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,59423.0,53.0,0,0,0
10,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,41568.0,0,0,0
11,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,54116.0,53.0,0,0,0
12,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,53063.0,0,0,0
13,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,40826.0,53.0,0,0,0
14,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,41568.0,53.0,0,0,0
15,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,53063.0,53.0,0,0,0
16,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,50483.0,0,0,0
16,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,57545.0,0,0,0
17,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,50483.0,53.0,0,0,0
18,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,57545.0,53.0,0,0,0
19,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,58857.0,0,0,0
20,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,40137.0,0,0,0
21,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,43090.0,0,0,0
22,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,58857.0,53.0,0,0,0
23,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,59423.0,0,0,0
24,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,40137.0,53.0,0,0,0
25,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,43090.0,53.0,0,0,0
26,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,59423.0,53.0,0,0,0
27,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,54116.0,0,0,0
28,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,54116.0,53.0,0,0,0
29,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,40826.0,0,0,0
30,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,36638.0,53.0,0,0,0
31,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,53500.0,53.0,0,0,0
32,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,57884.0,53.0,0,0,0
33,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,41568.0,0,0,0
34,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,36885.0,53.0,0,0,0
35,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,52807.0,53.0,0,0,0
36,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,53063.0,0,0,0
37,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,58488.0,53.0,0,0,0
38,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,50483.0,0,0,0
39,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,57545.0,0,0,0
40,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,58857.0,0,0,0
41,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,40137.0,0,0,0
42,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,43090.0,0,0,0
43,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,59423.0,0,0,0
44,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,54116.0,0,0,0
45,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,36638.0,0,0,0
46,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,36638.0,53.0,0,0,0
47,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,53500.0,0,0,0
48,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,53500.0,53.0,0,0,0
49,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,57884.0,0,0,0
50,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,57884.0,53.0,0,0,0
50,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,52807.0,0,0,0
51,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,52807.0,53.0,0,0,0
52,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,36885.0,0,0,0
53,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,36885.0,53.0,0,0,0
54,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,58488.0,0,0,0
55,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,58488.0,53.0,0,0,0
56,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,36638.0,0,0,0
57,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,53500.0,0,0,0
58,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,57884.0,0,0,0
59,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,52807.0,0,0,0
60,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,36885.0,0,0,0
