No.,Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Info,Src Port,Dest Port,AttackType
1,0,192.168.60.1,192.168.60.255,UDP,86,0,0,128,0,0,0,0,0,0,0,0,0,0,57621  >  57621 Len=44,57621,57621,hostscan
2,4.058447489,192.168.60.133,192.168.60.2,DNS,85,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7abb PTR 0.60.168.192.in-addr.arpa,59588,53,hostscan
3,4.060190309,192.168.60.133,192.168.60.2,DNS,85,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7abc PTR 1.60.168.192.in-addr.arpa,59588,53,hostscan
4,4.06019048,192.168.60.133,192.168.60.2,DNS,85,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7abd PTR 2.60.168.192.in-addr.arpa,59588,53,hostscan
5,4.06029791,192.168.60.133,192.168.60.2,DNS,85,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7abe PTR 3.60.168.192.in-addr.arpa,59588,53,hostscan
6,4.06029798,192.168.60.133,192.168.60.2,DNS,85,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7abf PTR 4.60.168.192.in-addr.arpa,59588,53,hostscan
7,4.06043052,192.168.60.133,192.168.60.2,DNS,85,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ac0 PTR 5.60.168.192.in-addr.arpa,59588,53,hostscan
8,4.06043065,192.168.60.133,192.168.60.2,DNS,85,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ac1 PTR 6.60.168.192.in-addr.arpa,59588,53,hostscan
9,4.060440408,192.168.60.133,192.168.60.2,DNS,85,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ac2 PTR 7.60.168.192.in-addr.arpa,59588,53,hostscan
10,4.060528212,192.168.60.133,192.168.60.2,DNS,85,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ac3 PTR 8.60.168.192.in-addr.arpa,59588,53,hostscan
11,4.060528332,192.168.60.133,192.168.60.2,DNS,85,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ac4 PTR 9.60.168.192.in-addr.arpa,59588,53,hostscan
12,4.214243998,192.168.60.2,192.168.60.133,DNS,162,0,0,128,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7abb No such name PTR 0.60.168.192.in-addr.arpa SOA prisoner.iana.org,53,59588,hostscan
13,4.214507672,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ac5 PTR 10.60.168.192.in-addr.arpa,59588,53,hostscan
14,4.214516619,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ac6 PTR 11.60.168.192.in-addr.arpa,59588,53,hostscan
15,4.214676128,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ac7 PTR 12.60.168.192.in-addr.arpa,59588,53,hostscan
16,4.216402337,192.168.60.2,192.168.60.133,DNS,162,0,0,128,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7abd No such name PTR 2.60.168.192.in-addr.arpa SOA prisoner.iana.org,53,59588,hostscan
17,4.216615994,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ac8 PTR 13.60.168.192.in-addr.arpa,59588,53,hostscan
18,4.216616094,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ac9 PTR 14.60.168.192.in-addr.arpa,59588,53,hostscan
19,4.216680102,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7aca PTR 15.60.168.192.in-addr.arpa,59588,53,hostscan
20,4.218764357,192.168.60.2,192.168.60.133,DNS,162,0,0,128,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7abc No such name PTR 1.60.168.192.in-addr.arpa SOA prisoner.iana.org,53,59588,hostscan
21,4.218764498,192.168.60.2,192.168.60.133,DNS,162,0,0,128,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7abe No such name PTR 3.60.168.192.in-addr.arpa SOA prisoner.iana.org,53,59588,hostscan
22,4.218764538,192.168.60.2,192.168.60.133,DNS,162,0,0,128,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7abf No such name PTR 4.60.168.192.in-addr.arpa SOA prisoner.iana.org,53,59588,hostscan
23,4.218764568,192.168.60.2,192.168.60.133,DNS,162,0,0,128,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7ac0 No such name PTR 5.60.168.192.in-addr.arpa SOA prisoner.iana.org,53,59588,hostscan
24,4.218899892,192.168.60.2,192.168.60.133,DNS,162,0,0,128,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7ac1 No such name PTR 6.60.168.192.in-addr.arpa SOA prisoner.iana.org,53,59588,hostscan
25,4.218900012,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7acb PTR 16.60.168.192.in-addr.arpa,59588,53,hostscan
26,4.219100148,192.168.60.2,192.168.60.133,DNS,162,0,0,128,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7ac2 No such name PTR 7.60.168.192.in-addr.arpa SOA prisoner.iana.org,53,59588,hostscan
27,4.219100278,192.168.60.2,192.168.60.133,DNS,162,0,0,128,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7ac3 No such name PTR 8.60.168.192.in-addr.arpa SOA prisoner.iana.org,53,59588,hostscan
28,4.219100308,192.168.60.2,192.168.60.133,DNS,162,0,0,128,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7ac4 No such name PTR 9.60.168.192.in-addr.arpa SOA prisoner.iana.org,53,59588,hostscan
29,4.219696237,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7acc PTR 17.60.168.192.in-addr.arpa,59588,53,hostscan
30,4.219696347,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7acd PTR 18.60.168.192.in-addr.arpa,59588,53,hostscan
31,4.219800412,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ace PTR 19.60.168.192.in-addr.arpa,59588,53,hostscan
32,4.219800492,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7acf PTR 20.60.168.192.in-addr.arpa,59588,53,hostscan
33,4.219866557,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ad0 PTR 21.60.168.192.in-addr.arpa,59588,53,hostscan
34,4.219866657,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ad1 PTR 22.60.168.192.in-addr.arpa,59588,53,hostscan
35,4.219925608,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ad2 PTR 23.60.168.192.in-addr.arpa,59588,53,hostscan
36,4.219925688,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ad3 PTR 24.60.168.192.in-addr.arpa,59588,53,hostscan
37,4.219993444,192.168.60.133,192.168.60.2,DNS,86,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7ad4 PTR 25.60.168.192.in-addr.arpa,59588,53,hostscan
