No.,Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Info,Src Port,Dest Port
1,0,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xd34d PTR 0.2.0.10.in-addr.arpa OPT,40826,53
2,0.000353,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7a5a PTR 1.2.0.10.in-addr.arpa OPT,41568,53
3,0.000623,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x093f PTR 2.2.0.10.in-addr.arpa OPT,53063,53
4,0.000887,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xde0a PTR 3.2.0.10.in-addr.arpa OPT,50483,53
5,0.001236,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7b71 PTR 4.2.0.10.in-addr.arpa OPT,57545,53
6,0.00155,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x683c PTR 5.2.0.10.in-addr.arpa OPT,58857,53
7,0.001928,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xbfa3 PTR 6.2.0.10.in-addr.arpa OPT,40137,53
8,0.002312,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x5803 PTR 7.2.0.10.in-addr.arpa OPT,43090,53
9,0.002713,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xd34d No such name PTR 0.2.0.10.in-addr.arpa OPT,53,40826
10,0.002877,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xce6c PTR 8.2.0.10.in-addr.arpa OPT,59423,53
11,0.003324,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7a5a No such name PTR 1.2.0.10.in-addr.arpa OPT,53,41568
12,0.003368,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x513b PTR 9.2.0.10.in-addr.arpa OPT,54116,53
13,0.003608,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x093f No such name PTR 2.2.0.10.in-addr.arpa OPT,53,53063
14,0.003758,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xd34d PTR 0.2.0.10.in-addr.arpa,40826,53
15,0.003986,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7a5a PTR 1.2.0.10.in-addr.arpa,41568,53
